PartNumber,Description,Brand,SuggestedRetail,Cost,Length,Width,Height,Weight,QtyAvail,UPC,Jobber,AAIACode,MapPrice,VendorMSRP,AirRestricted,StateRestricted,TruckFrtOnly,ManufacturerPart,ShipAlone,Status,MotorStateNotes,CanadaRestricted,AcquiredDate,Image URL,Category Level 1,Category Level 2,Category Level 3,Long Description(150)
AFR2513,Gen III Hemi 224cc LH Cyl Head 69cc CNC Assem,AIR FLOW RESEARCH,2060.99,1800.88,24.5,10.5,7.5,36.8,1,,1800.88,GBMK,,,NO,,NO,2513,NO,S,Black Hawk Series,NO,11/7/2023,https://msimg.blob.core.windows.net/product/AFR2513.jpg,Engines and Components,Cylinder Heads and Components,Cylinder Heads,Cylinder Head - Black Hawk - Assembled - Driver Side - 2.165 / 1.650 in Valves - 224 cc Intake - 69 cc Chamber - 1.270 in Springs - Straight Plug - Aluminum - Mopar Gen III Hemi - Each
AFR2514,Gen III Hemi 224cc RH Cyl Head 69cc CNC Assem,AIR FLOW RESEARCH,2060.99,1800.88,24.5,10.5,7.3,36.8,1,,1800.88,GBMK,,,NO,,NO,2514,NO,S,Black Hawk Series,NO,11/7/2023,https://msimg.blob.core.windows.net/product/AFR2514.jpg,Engines and Components,Cylinder Heads and Components,Cylinder Heads,Cylinder Head - Black Hawk - Assembled - Passenger Side - 2.165 / 1.650 in Valves - 224 cc Intake - 69 cc Chamber - 1.270 in Springs - Straight Plug - Aluminum - Mopar Gen III Hemi - Each
AFR4910,BBC Oval Port Intake Manifold - Dual Plane,AIR FLOW RESEARCH,345.99,300.39,25,13.5,8.5,21.3,1,,300.39,GBMK,,,NO,,NO,4910,NO,S,Magnum Series w/4150 Flange,NO,12/29/2023,https://msimg.blob.core.windows.net/product/AFR4910.jpg,Air and Fuel,Intake Manifolds and Components,Intake Manifolds,Intake Manifold - Square Bore - Dual Plane - Oval Port - Aluminum - Natural - Big Block Chevy - Each
AFS18110,Stealth 200 Gen 2 Fuel Tank 67-72 GM C10  Truck,AEROMOTIVE,1054.99,799.97,40.5,20.5,18,41.2,2,6.8498E+11,1034.97,BGPL,,,NO,,NO,18110,YES,S,Rear Mount,NO,,https://msimg.blob.core.windows.net/product/AFS18110.jpg,Air and Fuel,"Fuel Cells, Tanks and Components",Fuel Cell/Tanks,Fuel Tank - Gen II Stealth - 200 lph Pump - 6 AN Female O-Ring Outlet - 6 AN Female O-Ring Return - Sending Unit - Steel - Silver Paint - GM Fullsize Truck 1967-72 - Kit
AFS18410,Stealth 340 Gen 2 Fuel Tank 67-72 GM C10  Truck,AEROMOTIVE,1104.99,843.97,40.5,20.5,18,40.7,2,6.8498E+11,1084.97,BGPL,,,NO,,NO,18410,YES,S,Rear Mount,NO,,https://msimg.blob.core.windows.net/product/AFS18410.jpg,Air and Fuel,"Fuel Cells, Tanks and Components",Fuel Cell/Tanks,Fuel Tank - Gen II Stealth - 340 lph Pump - 6 AN Female O-Ring Outlet - 6 AN Female O-Ring Return - Sending Unit - Steel - Silver Paint - GM Fullsize Truck 1967-72 - Kit
AFS18720,1.5 in Screw-On Fuel Cap Black,AEROMOTIVE,155.99,115.97,5.8,5.4,5.4,1.16,4,6.8498E+11,149.97,BGPL,,,NO,,NO,18720,NO,S,,NO,,https://msimg.blob.core.windows.net/product/AFS18720.jpg,Air and Fuel,"Fuel Cells, Tanks and Components",Fuel Cell/Tank Caps,Fuel Filler Cap Assembly - Screw-On Cap - Slotted - Flush Remote Mount - 6-Bolt Flange - Aluminum - Black Anodized - Kit
AFS18810,Stealth 450 Gen 2 Fuel Tank 67-72 GM C10 Truck,AEROMOTIVE,1274.99,975.97,40.5,20.5,18,41.1,2,6.8498E+11,1254.97,BGPL,,,NO,,NO,18810,YES,S,Rear Mount,NO,,https://msimg.blob.core.windows.net/product/AFS18810.jpg,Air and Fuel,"Fuel Cells, Tanks and Components",Fuel Cell/Tanks,Fuel Tank - Gen II Stealth - 450 lph Pump - 6 AN Female O-Ring Outlet - 6 AN Female O-Ring Return - Sending Unit - Steel - Silver Paint - GM Fullsize Truck 1967-72 - Kit
AIR57354,LoadLifter 5000 23- Ford F250 Super Duty,AIR LIFT,479.99,354.97,14,12,9.5,35,0,7.292E+11,492.13,BBCG,,679.04,NO,,NO,57354,NO,S,,NO,,https://msimg.blob.core.windows.net/product/AIR57354.jpg,Suspension and Components,Air Suspension and Components,Air Load Levelers and Air Helper Springs,Air Spring Kit - Loadlifter 5000 - Bags / Brackets / Lines - 5000 lb Capacity - Black Powder Coat Brackets - Rear - Ford Fullsize Truck 2023 - Kit
AIR57554,LoadLifter 7500XL 23- Ford F250 Super Duty,AIR LIFT,780.99,577.97,17,13,11.25,57.2,0,7.292E+11,801.26,BBCG,,1105.58,NO,,NO,57554,YES,S,,NO,,https://msimg.blob.core.windows.net/product/AIR57554.jpg,Suspension and Components,Air Suspension and Components,Air Load Levelers and Air Helper Springs,Air Spring Kit - Loadlifter 7500 XL - Bags / Brackets / Lines - 7500 lb Capacity - Black Powder Coat Brackets - Rear - Ford Fullsize Truck 2023 - Kit
AIR88354,LoadLifter 5000 Ultimate 23- Ford F250 Super Duty,AIR LIFT,596.99,442.97,14.55,11.75,10,35.655,1,7.292E+11,612.53,BBCG,,845.17,NO,,NO,88354,YES,S,,NO,,https://msimg.blob.core.windows.net/product/AIR88354.jpg,Suspension and Components,Air Suspension and Components,Air Load Levelers and Air Helper Springs,Air Spring Kit - Loadlifter 5000 Ultimate - Bags / Brackets / Lines - 5000 lb Capacity - Black Powder Coat Brackets - Rear - Ford Fullsize Truck 2023 - Kit
ALL10108,Lug Wrench Quick Spin Angle Handle 1in,ALLSTAR PERFORMANCE,38.99,24.97,24.5,19.5,1.6,3.1,56,8.48238E+11,33.24,DNLF,38.99,,NO,,NO,ALL10108,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL10108.jpg,Tools,Hand and Other Tools,Lug Nut Wrenches,Lug Wrench - Economy Quick Spin - 1 in Socket - 1 in Diameter Tubing - 10 in Long Handle - Steel - Black Powder Coat - Each
ALL10117,Aluminum Toe Plates 1pr ,ALLSTAR PERFORMANCE,89.99,61.97,32,11,1.4,12.5,6,8.48238E+11,79.05,DNLF,89.99,,NO,,NO,ALL10117,NO,S,"1/2 THICK, 11 TALL X 32 WIDE",NO,,https://msimg.blob.core.windows.net/product/ALL10117.jpg,Tools,Suspension Tuning,Aluminum Toe Plates,Toe-In Plates - Standard - Aluminum - Natural - Pair
ALL10124,Jack Stands 1pr 3 Ton Ratchet,ALLSTAR PERFORMANCE,35.99,23.97,14.5,8.3,8.3,14.55,17,8.48238E+11,31.75,DNLF,35.99,,NO,,NO,ALL10124,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL10124.jpg,Tools,Shop Equipment,Jack Stands,Jack Stand - 12-1/2 to 17-1/2 in Tall - 7 x 8 in Rectangle Base - Steel - Silver Paint - Pair
ALL10254,Stack Stands 14in 1pr Steel,ALLSTAR PERFORMANCE,129.99,92.97,17,16.6,13.4,16.9,52,8.48238E+11,116.46,DNLF,129.99,,NO,,NO,ALL10254,YES,S,Rated @ 3500 Lbs. per stand.,NO,,https://msimg.blob.core.windows.net/product/ALL10254.jpg,Tools,Shop Equipment,Jack Stands,Jack Stand - 14 in Tall - 12 x 15 in Rectangle Base - Stackable - Steel - Red Paint - Pair
ALL11195,Wheelie Bar Wheel Wrench 3/4in,ALLSTAR PERFORMANCE,46.99,30.97,17,4.05,0.65,0.34,12,8.48238E+11,39.99,DNLF,46.99,,NO,,NO,ALL11195,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL11195.jpg,Tools,Hand and Other Tools,Wrenches,Wheelie Bar Wrench - 3/4 in Jam Nut - 2-7 in Scale - Billet Aluminum - Black Anodized - Each
ALL11197,Wheelie Bar Wheel Wrench 1in,ALLSTAR PERFORMANCE,46.99,30.97,17.05,4,0.5,0.365,5,8.48238E+11,39.99,DNLF,46.99,,NO,,NO,ALL11197,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL11197.jpg,Tools,Hand and Other Tools,Wrenches,Wheelie Bar Wrench - 1 in Jam Nut - 2-7 in Scale - Billet Aluminum - Black Anodized - Each
ALL11314,Air Jack Cylinder 15.25in Stroke w/ Foot,ALLSTAR PERFORMANCE,674.99,509.99,24,6.5,6,5.95,1,8.48238E+11,794.11,DNLF,674.99,,NO,,NO,ALL11314,NO,S,,NO,11/15/2023,https://msimg.blob.core.windows.net/product/ALL11314.jpg,Tools,Shop Equipment,Floor Jack Components,Air Jack Cylinder - Weld-On - 15.25 in Lift - 3000 lb Max - Aluminum - Black Anodized - Allstar Air Jack Kits - Each
ALL12121,Flap Disc 60 Grit 4-1/2in with 7/8in Arbor,ALLSTAR PERFORMANCE,5.99,3.87,9,5.5,0.85,0.245,32,8.48238E+11,4.93,DNLF,5.99,,NO,,NO,ALL12121,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12121.jpg,Tools,Hand and Other Tools,Grinding/Sanding Discs,Sanding Disc - Flap Style - 4-1/2 in Diameter - 7/8 in Arbor - 13300 RPM - 60 Grit - Zirconia Grain - Each
ALL12121-5,Flap Discs 60 Grit 4-1/2in with 7/8in Arbor,ALLSTAR PERFORMANCE,27.99,16.97,6.9,6.4,3.4,1.15,3,8.48238E+11,22.69,DNLF,27.99,,NO,,NO,ALL12121-5,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12121-5.jpg,Tools,Hand and Other Tools,Grinding/Sanding Discs,Sanding Disc - Flap Style - 4-1/2 in Diameter - 7/8 in Arbor - 13300 RPM - 60 Grit - Zirconia Grain - Set of 5
ALL12122,Flap Disc 80 Grit 4-1/2in with 7/8in Arbor,ALLSTAR PERFORMANCE,5.99,3.87,9,5.5,0.9,0.23,38,8.48238E+11,4.93,DNLF,5.99,,NO,,NO,ALL12122,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12122.jpg,Tools,Hand and Other Tools,Grinding/Sanding Discs,Sanding Disc - Flap Style - 4-1/2 in Diameter - 7/8 in Arbor - 13300 RPM - 80 Grit - Zirconia Grain - Each
ALL12122-5,Flap Discs 80 Grit 4-1/2in with 7/8in Arbor,ALLSTAR PERFORMANCE,28.49,16.97,6.6,6.3,3.4,1.1,2,8.48238E+11,23.28,DNLF,28.49,,NO,,NO,ALL12122-5,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12122-5.jpg,Tools,Hand and Other Tools,Grinding/Sanding Discs,Sanding Disc - Flap Style - 4-1/2 in Diameter - 7/8 in Arbor - 13300 RPM - 80 Grit - Zirconia Grain - Set of 5
ALL12123,Flap Disc 120 Grit 4-1/2in with 7/8in Arbor,ALLSTAR PERFORMANCE,5.79,3.67,9.05,5.5,0.75,0.24,22,8.48238E+11,4.69,DNLF,5.79,,NO,,NO,ALL12123,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12123.jpg,Tools,Hand and Other Tools,Grinding/Sanding Discs,Sanding Disc - Flap Style - 4-1/2 in Diameter - 7/8 in Arbor - 13300 RPM - 120 Grit - Zirconia Grain - Each
ALL12123-5,Flap Discs 120 Grit 4-1/2in with 7/8in Arbor,ALLSTAR PERFORMANCE,26.99,16.87,6.7,6.4,3.4,1.1,3,8.48238E+11,21.87,DNLF,26.99,,NO,,NO,ALL12123-5,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12123-5.jpg,Tools,Hand and Other Tools,Grinding/Sanding Discs,Sanding Disc - Flap Style - 4-1/2 in Diameter - 7/8 in Arbor - 13300 RPM - 120 Grit - Zirconia Grain - Set of 5
ALL12200,Aerosol Can Holder White ,ALLSTAR PERFORMANCE,29.99,18.97,24,6.25,4.75,4.7,18,8.48238E+11,25.52,DNLF,29.99,,NO,,NO,ALL12200,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12200.jpg,Tools,Storage/Organizers,Shop/Trailer Organizers,Aerosol Can Holder - 23 in Long - 3.5 in Deep - 5.5 in Tall - 6 Can Capacity - Steel - White Paint - Each
ALL12201,Aerosol Can Holder White 3 Hole,ALLSTAR PERFORMANCE,19.99,12.97,14.2,6.3,4.6,2.6,21,8.48238E+11,17.16,DNLF,19.99,,NO,,NO,ALL12201,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL12201.jpg,Tools,Storage/Organizers,Shop/Trailer Organizers,Aerosol Can Holder - 11.5 in Long - 3.5 in Deep - 5.5 in Tall - 3 Can Capacity - Steel - White Paint - Each
ALL14355,Quick Change Gear Case ,ALLSTAR PERFORMANCE,49.99,29.97,15.4,8.7,8.6,4.15,100,8.48238E+11,42.34,DNLF,49.99,,NO,,NO,ALL14355,NO,S,,NO,,https://msimg.blob.core.windows.net/product/ALL14355.jpg,Tools,Storage/Organizers,Storage Cases,Quick Change Gear Set Storage Case - 8 Gear Set Capacity - Plastic - Black - Each
ALL18442-10,Hair Pins 1-5/8in .093 10pk,ALLSTAR PERFORMANCE,6.99,4.89,4.15,2.15,0.6,0.075,2,8.48238E+11,5.05,DNLF,6.99,,NO,,NO,ALL18442-10,NO,S,,NO,11/16/2023,https://msimg.blob.core.windows.net/product/ALL18442-10.jpg,Fasteners,Bulk Fasteners,Hair Pins,Hair Pin Clip - 1-5/8 in Long - 0.093 in Wire Diameter - Steel - Chrome - Shock Quick Pins - Set of 10
ALL18444-10,Hair Pins 2-1/2in .093 10pk,ALLSTAR PERFORMANCE,7.99,5.53,4,2.8,0.65,0.1,2,8.48238E+11,5.87,DNLF,7.99,,NO,,NO,ALL18444-10,NO,S,,NO,11/9/2023,https://msimg.blob.core.windows.net/product/ALL18444-10.jpg,Fasteners,Bulk Fasteners,Hair Pins,Hair Pin Clip - 2-1/2 in Long - 0.093 in Wire Diameter - Steel - Chrome - Shock Quick Pins - Set of 10
